etablissementLibelle,id,articleReference,corps,chaire,section,section2,section3,datePublicationPoste,datePriseDePoste,dateOuvertureCandidatures,dateFermetureCandidatures,descriptionPoste,typeCandidatureConcours,typeCandidatureMutation,typeCandidatureDétachement,typeCandidatureRecrutementEtranger,typeCandidatureIntégrationDirecte,typeCandidatureRecrutementSurContrat,région,etatPoste,statutPoste,typeCampagne,dateScraping
UNIVERSITE DE LORRAINE,5aa2a979f4cb112e6de2c12e676e5c07866a758ea006f588b5ce157e9245e08f,,ATER,,1,NA,NA,NA,NA,2025-02-19,2025-03-19,Droit privé et sciences criminelles,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE PERPIGNAN (VIA DOMITIA),c0859f1f4462556020c19823140d5661748566b04d9c72b8067f8743086c4b1c,,ATER,,1,NA,NA,NA,NA,2025-07-02,2025-12-03,ATER en droit privé et sciences criminelles,False,False,False,False,False,False,Occitanie,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE PERPIGNAN (VIA DOMITIA),13f8edb52ce445bee0eb5a5bab0d6a5a921e3a27aa3bc8b88fde7f45a41f8eb5,,ATER,,1,NA,NA,NA,NA,2025-07-02,2025-12-03,ATER en droit privé et sciences criminelles,False,False,False,False,False,False,Occitanie,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE PERPIGNAN (VIA DOMITIA),ef30ad66dea3e484a81d01a5524878eb16003407dc470e0c65920f04769b096b,,ATER,,1,NA,NA,NA,NA,2025-07-02,2025-12-03,ATER en droit privé et sciences criminelles,False,False,False,False,False,False,Occitanie,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE PERPIGNAN (VIA DOMITIA),9b3e88d7c92a34d7602a46299a32a1681c9f53306f71cab9a612f0f6d16b26dd,,ATER,,1,NA,NA,NA,NA,2025-07-02,2025-12-03,ATER en droit privé et sciences criminelles,False,False,False,False,False,False,Occitanie,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE STRASBOURG,1619ee677f22f8c5fe2741d677c5b83cf926dba6db2c011a8673ea1e2dbae1dd,,ATER,,1,NA,NA,NA,NA,2025-04-02,2025-05-03,Droit privé et sciences criminelles,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE LYON 3 (JEAN MOULIN),efdae387ed3b2ff4f179da023dac8d0dd994dc56e1fb162a6665c50474fce67d,,ATER,,1,NA,NA,NA,NA,2025-02-18,2025-03-26,Droit privé et sciences criminelles,False,False,False,False,False,False,Auvergne-Rhône-Alpes,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE LYON 3 (JEAN MOULIN),b5b0833fa0a2874b988669d35c6bbb8658c47772be23ff906f0b18ce4e1c7c98,,ATER,,1,NA,NA,NA,NA,2025-02-18,2025-03-26,"Méthodologie juridique, droit civil, droit pénal poste à l'IUT",False,False,False,False,False,False,Auvergne-Rhône-Alpes,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS-DAUPHINE,eabcf773ae827abe7a7a4dbdb33820ea3098698bc84c863a90b50113870c1307,,ATER,,1,NA,NA,NA,NA,2025-02-24,2025-03-28,NA,False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS PANTHEON ASSAS,4113c67cfefb1137c3777645c68f692b3f71ac64ee9c84ef49b192d976c9210d,,ATER,,1,NA,NA,NA,NA,2025-10-02,2025-10-03,NA,False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE D'AMIENS,e238d7d37ca4e9752d62a4538346b1e1dc0d362c0945ed0b6b6703d45fc75292,,ATER,,1,NA,NA,NA,NA,2025-02-28,2025-03-25,DROIT PRIVE,False,False,False,False,False,False,Hauts-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS SACLAY,d968d3a1f8d99c21e4c1fa9f9bf02a810e810167576bd1442d507718f241e6c1,,ATER,,1,NA,NA,NA,NA,2025-02-17,2025-03-17,Droit privé,False,False,False,False,False,False,Essonne,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS SACLAY,5d761eed1cb198e8d666f414f2c617ee819aec5cb37eac1ec004d89e70429401,,ATER,,1,NA,NA,NA,NA,2025-02-17,2025-03-17,Droit privé,False,False,False,False,False,False,Essonne,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS SACLAY,1cfd89b1cfc580bfcda09d00cebeae9dd38025798569d08a9b56d8a7ee943fd0,,ATER,,1,NA,NA,NA,NA,2025-02-17,2025-03-17,Droit privé,False,False,False,False,False,False,Essonne,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS EST CRETEIL (PARIS 12,7aa69673a47d615cabff196ba2caa9f9366dc5c860cd0a2c7249eabc1914991e,,ATER,,1,NA,NA,NA,NA,2025-02-18,2025-03-18,Droit privé,False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS EST CRETEIL (PARIS 12,0f0ed4586e0629ddf714a1dc1c9f61180886b47d368bd526b4e5a4ef84e448b2,,ATER,,1,NA,NA,NA,NA,2025-02-18,2025-03-18,Droit privé,False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS EST CRETEIL (PARIS 12,3d6682a02576bbbe970f2b3ea26b9300b0c3e7d850e75057fc8b7b6e2ffd5cea,,ATER,,1,NA,NA,NA,NA,2025-02-18,2025-03-18,Droit privé,False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS EST CRETEIL (PARIS 12,20897b6c64bc098bfec5432092d22b5a46bae26fc46b7b5c4f9b445eb7bc1144,,ATER,,1,NA,NA,NA,NA,2025-02-18,2025-03-18,Droit privé,False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS EST CRETEIL (PARIS 12,91c109337a272419c3f1689670d8643b591965be51ac0487186d8f1498cdcc38,,ATER,,1,NA,NA,NA,NA,2025-02-18,2025-03-18,Droit privé,False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS EST CRETEIL (PARIS 12,3306891185be67447de9f22f0674101a29afa9e50f2df11c5fb7ff4b85ae69bb,,ATER,,1,NA,NA,NA,NA,2025-02-18,2025-03-18,Droit privé,False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS EST CRETEIL (PARIS 12,feaab408e3545fd1303371c0d9c3cd242f769a43ccf7a8fa51a644da81f0e266,,ATER,,1,NA,NA,NA,NA,2025-02-18,2025-03-18,Droit privé,False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DES ANTILLES,25a42e4b21914441cf659b375e7a6d952c9cf55225cfbc017a8c6df9b74e1e32,,ATER,,1,NA,NA,NA,NA,2025-11-02,2025-10-03,Consulter la fiche de l'appel à candidatures et/ou http://www.univ-ag.fr/actualites,False,False,False,False,False,False,Guadeloupe,NA,NA,[],2025-03-05T20:34:54Z
.UNIVERSITE MONTPELLIER 3 (PAUL VALERY,5028a9d46bd2b54c531791ec2a31dfe5053ecad7cf9f821cf613eb1d9622fa7c,,ATER,,2,NA,NA,NA,NA,2025-04-02,2025-05-03,Droit public,False,False,False,False,False,False,Occitanie,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE TOURS,a69dbd0b1bf0f653ba79d1b194194be75473f504404ab5c4b13245984fd80854,,ATER,,2,NA,NA,NA,NA,2025-02-27,2025-03-20,Droit public général,False,False,False,False,False,False,Centre-Val de Loire,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE LORRAINE,0e056c9a906ee42aa58f2fcefcde6b01164812beb5edd06e49c902a0f15daaeb,,ATER,,2,NA,NA,NA,NA,2025-02-19,2025-03-19,droit public,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE LORRAINE,fe981aad03a98dcb5f2d014570a1ebbb8d370e5aa7bac859913fab99bf8c2e45,,ATER,,2,NA,NA,NA,NA,2025-02-19,2025-03-19,Droit public,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE LORRAINE,68615310bd1a12d3043c7fef7ab8467bd564d2c6f00648f8691c92c31705aed4,,ATER,,2,NA,NA,NA,NA,2025-02-19,2025-03-19,Droit public,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE LORRAINE,dff8c950b779a2ce3b35297d4c3d36a8538449d4c51066aa59ecfae1e00b19a1,,ATER,,2,NA,NA,NA,NA,2025-02-19,2025-03-19,Droit public,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE LORRAINE,c650b8f442433115c180a40c1c12a3d1987a12c5e10b93afdb2f56093b52979d,,ATER,,2,NA,NA,NA,NA,2025-02-19,2025-03-19,Droit public,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE PERPIGNAN (VIA DOMITIA),9c4f71de85a6901cfcc2dea5c58d30eb1c3384f95b9d0096811a20331dca9ed8,,ATER,,2,NA,NA,NA,NA,2025-07-02,2025-12-03,Droit public,False,False,False,False,False,False,Occitanie,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE PERPIGNAN (VIA DOMITIA),ab2916b5304a59c76cce147de875bf1af838525b959a25058c1aced3d7754d49,,ATER,,2,NA,NA,NA,NA,2025-07-02,2025-12-03,Droit public,False,False,False,False,False,False,Occitanie,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE PERPIGNAN (VIA DOMITIA),3a00e2d958ea647b391b66234a9f66c8297787f4fcb28b34e3ce7b2938da8187,,ATER,,2,NA,NA,NA,NA,2025-07-02,2025-12-03,Droit public,False,False,False,False,False,False,Occitanie,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE PERPIGNAN (VIA DOMITIA),f3885ac19a034dc2780c830ce22d0726a96dd56339b0a785d94e1f58e77c9d09,,ATER,,2,NA,NA,NA,NA,2025-07-02,2025-12-03,Droit public,False,False,False,False,False,False,Occitanie,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE STRASBOURG,5a7006a86b68ad334caaead77dd7826738caf9d33ebd93887d0fae9b9e9b8fab,,ATER,,2,NA,NA,NA,NA,2025-04-02,2025-05-03,Droit public,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE STRASBOURG,283fc3060455b258fdde901f22dad266e4944d4cd6f99b6340834604c3e2c9d4,,ATER,,2,NA,NA,NA,NA,2025-04-02,2025-05-03,Droit public interne et/ou droit de l’Union européenne (droit du marché intérieur).,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE STRASBOURG,b546141e2f5973db6152d0ae937e57653a92e3b4ddb1cad6a8b209a073dfb564,,ATER,,2,NA,NA,NA,NA,2025-04-02,2025-05-03,Droit public interne et/ou droit de l’Union européenne (droit du marché intérieur).,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE LYON 3 (JEAN MOULIN),87e2eed1729fa8697a1ebdf61724650b136314274b87b3bd2b40786da5cd7919,,ATER,,2,NA,NA,NA,NA,2025-02-18,2025-03-26,"Droit public interne, droit international ou droit européen",False,False,False,False,False,False,Auvergne-Rhône-Alpes,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS-DAUPHINE,c7c4d014f0ee9d49150aecdb73493bdf1b0f1019f4a4aa63581b22b01e5cfd24,,ATER,,2,NA,NA,NA,NA,2025-02-24,2025-03-28,NA,False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS PANTHEON ASSAS,0b2a2963af7dc3a77ed7978d60a72ee67b28d818c34b7683755d45f10ee7b829,,ATER,,2,NA,NA,NA,NA,2025-10-02,2025-10-03,NA,False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE D'AMIENS,71bc55b2e694972f25ba663fc48b0f97df4421ea1ede4a2eed8a3347870ce85a,,ATER,,2,NA,NA,NA,NA,2025-02-28,2025-03-25,DROIT PUBLIC,False,False,False,False,False,False,Hauts-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS SACLAY,db633dcd033d5a646872085c871ebb9b4d63dcce0bd2d4a33574a7dbc8473de5,,ATER,,2,NA,NA,NA,NA,2025-02-17,2025-03-17,droit public interne – droit européen – droit international public,False,False,False,False,False,False,Essonne,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS EST CRETEIL (PARIS 12,3f318b6735bf3d0ed8a80a41015a7853a77fc661e0c637936c174c0d8147b864,,ATER,,2,NA,NA,NA,NA,2025-02-18,2025-03-18,Droit public,False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS EST CRETEIL (PARIS 12,4a16772113e3437d83ce1b13b05f31afb5eeb1140c74bb1dc45a93d05999f7c3,,ATER,,2,NA,NA,NA,NA,2025-02-18,2025-03-18,Droit public,False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS EST CRETEIL (PARIS 12,15908c60a095d532194ab732e0b5996ff5db90aafdbd5246cec063b1eb650bb9,,ATER,,2,NA,NA,NA,NA,2025-02-18,2025-03-18,Droit public,False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DES ANTILLES,4af1fcd19b4cae99d1dc6b2b76e4fa1cb1267239b001c890ca7b1c9651e040e1,,ATER,,2,NA,NA,NA,NA,2025-11-02,2025-10-03,Consulter la fiche de l'appel à candidatures et/ou http://www.univ-ag.fr/actualites,False,False,False,False,False,False,Guadeloupe,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DES ANTILLES,04942865a1708eafee0100cddf2e668169845691a00beed89f7eb8b07c2a98f9,,ATER,,2,NA,NA,NA,NA,2025-10-02,2025-10-03,Consulter la fiche de l'appel à candidatures et/ou http://www.univ-ag.fr/actualites,False,False,False,False,False,False,Guadeloupe,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE D'ANGERS,aae7647f1de363f22df4fcd47e7753e2fd3dde37b977b662b816539a91ca7f37,,ATER,,3,NA,NA,NA,NA,2025-11-02,2025-12-03,Histoire du droit : introduction historique au droit (semestre 1) et  histoire des institutions (semestre 2),False,False,False,False,False,False,Pays de la Loire,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE STRASBOURG,1a411b6e09927ab7acf254d0a310718a440e8b7f41887317bff216e0e236ea15,,ATER,,3,NA,NA,NA,NA,2025-04-02,2025-05-03,Histoire du droit et des institutions,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE LYON 3 (JEAN MOULIN),fe5cd0ab0650e858a94658e474592b131fe0ce5bf795fc79887e2f788c09cf2f,,ATER,,3,NA,NA,NA,NA,2025-02-18,2025-03-26,"Histoire du droit et des institutions, Histoire des idées politiques",False,False,False,False,False,False,Auvergne-Rhône-Alpes,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS PANTHEON ASSAS,cc18ac1a3b17c554de148908e13b457fc83fdee27910af3a7d2448bbd6d4a2f6,,ATER,,3,NA,NA,NA,NA,2025-10-02,2025-10-03,NA,False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS SACLAY,6549126a2e126d5b4967ed5d3c3be84b92fd7205bf75daafce7c9fc3d1265f90,,ATER,,3,NA,NA,NA,NA,2025-02-17,2025-03-17,Assurer les travaux-dirigés et éventuellement des cours magistraux en Histoire du droit pour les étudiants de Licence et de Master 1 ; assurer des TD de Méthodologie des études universitaires pour les étudiants de Licences 1,False,False,False,False,False,False,Essonne,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS EST CRETEIL (PARIS 12,dec866c175d8e22c2f9809279435f8072e514049b17dbc8cb02c2de01d6f2dac,,ATER,,3,NA,NA,NA,NA,2025-02-18,2025-03-18,"Histoire du droit droit privé, histoire du droit public",False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS EST CRETEIL (PARIS 12,80840c6bd0d5a2bab104b7972c95dcb1e7092dcc2eea8ce21dabfe0281e5ab3f,,ATER,,3,NA,NA,NA,NA,2025-02-18,2025-03-18,"Histoire du droit droit privé, histoire du droit public",False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS EST CRETEIL (PARIS 12,12ea029cdcf5363d4d875f96c5773261e9470690818297060eda7445de8ad55b,,ATER,,3,NA,NA,NA,NA,2025-02-18,2025-03-18,"Histoire du droit droit privé, histoire du droit public",False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS EST CRETEIL (PARIS 12,f9a0a9d248332adee615002fdb3855f1843d8953a69b5d5d32dc1c4b7a0351ca,,ATER,,3,NA,NA,NA,NA,2025-02-18,2025-03-18,"Histoire du droit droit privé, histoire du droit public",False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
.UNIVERSITE MONTPELLIER 3 (PAUL VALERY,cd45036f55fc75e29401a60276c80865492462274fac8a78c9b6f35b642ced22,,ATER,,4,NA,NA,NA,NA,2025-04-02,2025-05-03,Science politique,False,False,False,False,False,False,Occitanie,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE TOURS,2de4dcb33f90c14081a61c95a64b1557184ee57ad92449df87660ed0b2205db9,,ATER,,4,NA,NA,NA,NA,2025-02-27,2025-03-20,Science politique,False,False,False,False,False,False,Centre-Val de Loire,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE STRASBOURG,897dafb2111be24e1116be4498714f14133cd8cf734dca2de9bbb73f57d638aa,,ATER,,4,NA,NA,NA,NA,2025-04-02,2025-05-03,Enseignement dans le cadre de conférences de méthodes de science politique,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE STRASBOURG,6c28be103b35877bdd8241a4f38f774b9fc2bd93d8a35a4280e9b17caafeb7bf,,ATER,,4,NA,NA,NA,NA,2025-04-02,2025-05-03,Enseignement dans le cadre de conférences de méthodes de science politique,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE LYON 3 (JEAN MOULIN),e1cc79f18f31559d9e8ff02421f69cfca635efb3f426cd68944cf873baccc5b4,,ATER,,4,NA,NA,NA,NA,2025-02-18,2025-03-26,"Sc politique, relations internationales, méthodes des sciences sociales poste à temps partiel",False,False,False,False,False,False,Auvergne-Rhône-Alpes,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE LYON 3 (JEAN MOULIN),b0f3ddae11baedeb78e468d4e3d2aa4fb0caf27119e1731f891b5edec6f19e2c,,ATER,,4,NA,NA,NA,NA,2025-02-18,2025-03-26,Francophonie et mondialisation,False,False,False,False,False,False,Auvergne-Rhône-Alpes,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE LYON 3 (JEAN MOULIN),84e4428de75fe2e8851447ce6feebeb794188540ec4d7e6c69c4562ecc85f0e9,,ATER,,4,NA,NA,NA,NA,2025-02-18,2025-03-26,"Sc Politique, relations internationales, méthodes des sciences sociales",False,False,False,False,False,False,Auvergne-Rhône-Alpes,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS-DAUPHINE,66c4a17e4fd9ca5d313f0f568eb5de72c02d33cfc02d4620b0278592ef24a2b8,,ATER,,4,NA,NA,NA,NA,2025-02-24,2025-03-28,NA,False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE PARIS PANTHEON ASSAS,8becabdb4b31f6399c7a33be5cd31d2d88f72665bc50393b68f18e0de2c6d120,,ATER,,4,NA,NA,NA,NA,2025-10-02,2025-10-03,NA,False,False,False,False,False,False,Île-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE D'AMIENS,a180e8b52dd4698c4d15467e16bca8b9e1785f4611c008a0aab40d252c908efd,,ATER,,4,NA,NA,NA,NA,2025-02-28,2025-03-25,SCIENCE POLITIQUE,False,False,False,False,False,False,Hauts-de-France,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE D'AVIGNON,ac86d6ff486e564b0f2598a2ff9c56cccbcc68b5d2ea2e394c21649239ce5611,,ATER,,4,NA,NA,NA,NA,2025-02-26,2025-04-04,SCIENCE POLITIQUE,False,False,False,False,False,False,Provence-Alpes-Côte d'Azur,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DES ANTILLES,fca642548212f693bd359a44d7b3ab6b797011061b9353e5a2287342580e739e,,ATER,,4,19,NA,NA,NA,2025-11-02,2025-10-03,Consulter la fiche de l'appel à candidatures et/ou http://www.univ-ag.fr/actualites,False,False,False,False,False,False,Guadeloupe,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DES ANTILLES,4f6e229869f25a73133a0e8468dc6d8cd90fe220d7aa10ca3034cb18932b46b9,,ATER,,4,NA,NA,NA,NA,2025-11-02,2025-10-03,Consulter la fiche de l'appel à candidatures et/ou http://www.univ-ag.fr/actualites,False,False,False,False,False,False,Guadeloupe,NA,NA,[],2025-03-05T20:34:54Z
.UNIVERSITE MONTPELLIER 3 (PAUL VALERY,389cb090370eaed6870865faea555ae0f06746069a1d892247feaac224f9b4eb,,ATER,,5,NA,NA,NA,NA,2025-04-02,2025-05-03,Economie,False,False,False,False,False,False,Occitanie,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE TOURS,4b6b636e0492b499f8abc77f713b24be35ad736855afd9cafdb0f6b7ac9394ea,,ATER,,5,NA,NA,NA,NA,2025-02-27,2025-03-20,"Macroéconomie, Microéconomie, Econométrie",False,False,False,False,False,False,Centre-Val de Loire,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE TOURS,bea719d57a773f1e704d79a4361397357509aa872ee5d570bf7c54517f02a739,,ATER,,5,NA,NA,NA,NA,2025-02-27,2025-03-20,"Macroéconomie, Microéconomie, Économétrie",False,False,False,False,False,False,Centre-Val de Loire,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE D'ANGERS,5835223606cb872fe6462c595fd29dd0118f915cddf298b9d8352c5c459844ff,,ATER,,5,NA,NA,NA,NA,2025-11-02,2025-12-03,"Microéconomie, Macroéconomie, Méthodologie du Travail Universitaire, Techniques quantitatives",False,False,False,False,False,False,Pays de la Loire,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE LORRAINE,67b7a9455e132a21e3007f64b3dd54ee92dc3068ff8628c495bde64c3fcffb5e,,ATER,,5,NA,NA,NA,NA,2025-02-19,2025-03-19,"microéconomie, macroéconomie, statistiques, économétrie",False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE LORRAINE,c49a21c2f906a9c52f2f50ec6731176dfb0002853eb90165e16754b5d5f69b04,,ATER,,5,NA,NA,NA,NA,2025-02-19,2025-03-19,Economie,False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE LORRAINE,ec045fd7615a9beb30271f3d455f6f8525417caff2276d40cc7b01ccbad0cee3,,ATER,,5,NA,NA,NA,NA,2025-02-19,2025-03-19,"microéconomie, macroéconomie, statistiques, économétrie",False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
UNIVERSITE DE LORRAINE,f8b64f236e2f016f9c7f5ffc579ee473640f20a68b4ff69b9a4b0a4f288fe2bc,,ATER,,5,NA,NA,NA,NA,2025-02-19,2025-03-19,"microéconomie, macroéconomie, statistiques, économétrie",False,False,False,False,False,False,Grand Est,NA,NA,[],2025-03-05T20:34:54Z
