"Périmètre";"Périmètre.ID";"Année";"Qualification.Candidats.PR";"Qualification.Candidats.PR.femmes";"Qualification.Qualifiés.PR";"Qualification.Qualifiés.PR.femmes";"Qualification.Candidats.MCF";"Qualification.Candidats.MCF.femmes";"Qualification.Qualifiés.MCF";"Qualification.Qualifiés.MCF.femmes";"Concours.Postes.PR";"Concours.Candidats.PR";"Concours.Candidats.PR.femmes";"Concours.Recrutés.PR";"Concours.Recrutés.PR.femmes";"Concours.Postes.MCF";"Concours.Candidats.MCF";"Concours.Candidats.MCF.femmes";"Concours.Recrutés.MCF";"Concours.Recrutés.MCF.femmes"
"Grande discipline";"Pharma";2016;25;0,44;19;0,368;311;61,4;242;0,607;16;34;0,353;15;0,467;42;339;0,478;41;0,61
"Grande discipline";"Pharma";2017;17;0,588;10;0,5;294;59,2;225;0,564;9;21;0,333;8;0,125;32;267;0,502;31;0,516
"Grande discipline";"Pharma";2018;42;0,571;19;0,579;271;60,9;210;0,6;12;29;0,414;12;0,25;27;218;0,569;25;0,6
"Grande discipline";"Pharma";2019;39;0,308;20;0,3;219;54,8;168;0,565;14;29;0,209;14;0,5;23;209;0,344;22;0,591
"Grande discipline";"Pharma";2020;46;0,435;22;0,545;319;53,3;211;0,512;14;28;0,321;13;0,385;33;212;0,5;28;0,5
"Grande discipline";"ST";2009;1739,75001146379;0,247;1244;0,236;5428,54013864509;36,3;4206;0,372;545;1447;0,227;476;0,235;1028;5390;0,371;953;0,285
"Grande discipline";"ST";2010;1433,79088103102;0,235;1036;0,231;4612,83099679668;36,1;3581;0,364;470;1271;0,199;423;0,191;952;5270;0,367;890;0,3
"Grande discipline";"ST";2011;1401;0,236;1109;0,234;4852;35,9;3900;0,357;507;1384;0,204;466;0,232;878;4558;0,342;842;0,289
"Grande discipline";"ST";2012;1407;0,247;1144;0,253;4691;36,6;3855;0,361;448;1302;0,194;403;0,169;774;4355;0,348;736;0,315
"Grande discipline";"ST";2013;1444;0,276;1187;0,273;4740;36,3;3889;0,357;323;1100;0,21;294;0,207;639;4237;0,334;615;0,294
"Grande discipline";"ST";2014;1362;0,261;1083;0,261;4659;38,4;3824;0,384;315;1109;0,199;299;0,214;511;4028;0,345;495;0,295
"Grande discipline";"ST";2015;1297;0,265;1079;0,262;4392;37,8;3577;0,374;260;1090;0,227;247;0,267;437;3913;0,349;425;0,313
"Grande discipline";"ST";2016;1244;0,245;1017;0,251;4165;38,2;3474;0,37;255;979;0,19;239;0,213;455;3788;0,341;443;0,325
"Grande discipline";"ST";2017;1347;0,283;1090;0,289;3778;38;3163;0,378;251;987;0,211;237;0,245;417;3282;0,331;395;0,316
"Grande discipline";"ST";2018;1387;0,262;1186;0,265;3730;37,4;3128;0,379;203;891;0,196;194;0,201;390;3115;0,345;370;0,3
"Grande discipline";"ST";2019;1356;0,271;1153;0,273;3871;36,6;3151;0,363;222;942;0,414;207;0,227;364;2719;0,474;348;0,359
"Grande discipline";"ST";2020;1311;0,272;1072;0,27;3714;36,3;2905;0,356;225;942;0,226;212;0,292;409;2958;0,341;392;0,36
"Groupe";"1";2009;7,74431009957326;0,19;2;0,5;771,528379330558;47,7;265;0,434;86;75;0,347;56;0,321;149;607;0,46;140;0,4
"Groupe";"1";2010;6,08481507823613;0,273;2;0;651,475541197512;49,2;224;0,522;97;82;0,28;63;0,302;145;588;0,48;141;0,461
"Groupe";"1";2011;4;0,5;0;0;710;48,7;260;0,562;83;73;0,315;54;0,352;165;621;0,535;155;0,548
"Groupe";"1";2012;10;0,2;0;0;757;49,3;259;0,463;90;178;0,376;58;0,31;177;672;0,484;171;0,515
"Groupe";"1";2013;3;0,333;0;0;723;47,7;240;0,471;65;90;0,344;55;0,4;178;639;0,498;163;0,479
"Groupe";"1";2014;6;0,333;1;0;725;48,1;245;0,514;77;98;0,306;61;0,311;148;655;0,466;145;0,524
"Groupe";"1";2015;303;0,535;37;0,568;738;53,5;256;0,543;89;106;0,368;68;0,397;142;657;0,507;141;0,546
"Groupe";"1";2016;216;0,505;39;0,564;705;49,8;272;0,555;71;98;0,418;58;0,379;132;751;0,502;130;0,5
"Groupe";"1";2017;184;0,5;36;0,5;711;45,1;253;0,447;76;115;0,452;64;0,391;141;683;0,477;135;0,526
"Groupe";"1";2018;135;0,459;24;0,542;733;45;250;0,496;52;86;0,453;44;0,5;121;698;0,473;115;0,539
"Groupe";"1";2019;135;0,452;27;0,556;737;46,8;246;0,476;50;91;0,429;46;0,435;116;748;0,468;112;0,518
"Groupe";"1";2020;144;0,438;43;0,488;758;45,6;293;0,457;53;103;0,437;50;0,42;117;738;0,486;116;0,474
"Groupe";"10";2009;419,973515009664;0,396;291;0,392;1690,41795502687;54,8;1346;0,56;96;192;0,333;80;0,4;192;1167;0,542;179;0,453
"Groupe";"10";2010;300,104277666043;0,376;203;0,394;1399,11216357618;56,1;1032;0,562;75;148;0,365;63;0,333;188;1132;0,554;176;0,523
"Groupe";"10";2011;280;0,357;210;0,381;1426;56;1106;0,546;83;195;0,39;77;0,494;168;1174;0,534;163;0,442
"Groupe";"10";2012;282;0,383;210;0,39;1435;57,8;1091;0,574;62;150;0,287;54;0,296;146;1095;0,565;136;0,559
"Groupe";"10";2013;290;0,4;249;0,373;1442;56,7;1142;0,547;45;113;0,381;39;0,333;99;926;0,545;94;0,585
"Groupe";"10";2014;289;0,422;235;0,413;1412;58,3;1133;0,574;51;138;0,326;45;0,4;100;1052;0,557;98;0,51
"Groupe";"10";2015;262;0,443;216;0,435;1314;55,9;1047;0,556;50;143;0,371;47;0,468;88;970;0,561;86;0,57
"Groupe";"10";2016;250;0,436;204;0,461;1194;57,1;966;0,553;42;99;0,394;38;0,368;94;912;0,536;90;0,533
"Groupe";"10";2017;279;0,462;221;0,475;1067;58,9;867;0,592;39;105;0,371;36;0,472;80;748;0,535;76;0,5
"Groupe";"10";2018;282;0,457;231;0,468;1035;55,2;876;0,558;31;80;0,425;26;0,423;75;645;0,053;70;0,514
"Groupe";"10";2019;272;0,404;232;0,414;1066;53,2;875;0,518;34;93;0,323;29;0,31;62;621;0,538;60;0,517
"Groupe";"10";2020;276;0,435;227;0,423;930;51,5;712;0,511;23;83;0,458;23;0,565;70;618;0,526;67;0,582
"Groupe";"11";2009;62,8368139873725;0,436;25;0,6;513,509574371556;56,7;378;0,556;22;34;0,324;19;0,474;70;382;0,521;66;0,606
"Groupe";"11";2010;37,3288003885381;0,45;15;0,467;366,676662900384;59,3;236;0,627;21;36;0,417;17;0,471;62;328;0,555;58;0,569
"Groupe";"11";2011;38;0,474;18;0,444;401;56,1;297;0,586;23;49;0,429;21;0,571;51;379;0,557;49;0,755
"Groupe";"11";2012;46;0,457;17;0,471;428;55,8;288;0,538;25;45;0,4;22;0,5;50;375;0,499;49;0,531
"Groupe";"11";2013;40;0,35;21;0,429;334;63,2;235;0,609;25;41;0,293;23;0,261;30;299;0,515;30;0,5
"Groupe";"11";2014;37;0,459;18;0,611;373;60,1;279;0,599;24;38;0,368;23;0,391;53;408;0,495;49;0,551
"Groupe";"11";2015;45;0,444;26;0,423;365;59,7;268;0,623;15;26;0,269;15;0,267;38;320;0,619;37;0,784
"Groupe";"11";2016;25;0,44;19;0,368;311;61,4;242;0,607;16;34;0,353;15;0,467;42;339;0,478;41;0,61
"Groupe";"11";2017;17;0,588;10;0,5;294;59,2;225;0,564;9;21;0,333;8;0,125;32;267;0,502;31;0,516
"Groupe";"11";2018;42;0,571;19;0,579;271;60,9;210;0,6;12;29;0,414;12;0,25;27;218;0,569;25;0,6
"Groupe";"11";2019;39;0,308;20;0,3;219;54,8;168;0,565;14;29;0,414;14;0,5;23;209;0,474;22;0,591
"Groupe";"11";2020;29;0,517;16;0,5;197;52,8;160;0,519;13;25;0,32;13;0,385;31;202;0,49;27;0,481
"Groupe";"12";2009;148,737641733849;0,345;70;0,4;858,504049257617;47,8;371;0,453;67;114;0,351;56;0,304;140;896;0,512;131;0,58
"Groupe";"12";2010;138,65373381969;0,339;70;0,343;688,407919871996;47,8;292;0,449;64;103;0,243;46;0,196;133;858;0,486;123;0,431
"Groupe";"12";2011;129;0,318;67;0,388;739;49,4;327;0,505;64;144;0,326;55;0,345;139;910;0,501;132;0,508
"Groupe";"12";2012;149;0,289;67;0,269;745;50,2;323;0,489;53;116;0,379;45;0,356;122;910;0,507;117;0,487
"Groupe";"12";2013;138;0,377;59;0,475;766;50,5;375;0,464;49;103;0,398;40;0,325;141;956;0,497;132;0,492
"Groupe";"12";2014;145;0,393;78;0,41;730;50,7;360;0,45;54;123;0,407;44;0,364;119;1020;0,497;114;0,421
"Groupe";"12";2015;139;0,41;78;0,436;733;52,9;380;0,497;54;131;0,374;46;0,348;117;1118;0,513;114;0,474
"Groupe";"12";2016;157;0,433;82;0,439;741;53,7;387;0,517;55;127;0,504;49;0,571;112;1036;0,546;102;0,529
"Groupe";"12";2017;132;0,402;76;0,355;700;52,1;364;0,489;42;106;0,349;37;0,514;120;1064;0,546;113;0,54
"Groupe";"12";2018;164;0,348;95;0,295;757;52,8;386;0,503;36;97;0,361;33;0,424;130;932;0,542;120;0,467
"Groupe";"12";2019;135;0,459;80;0,4;799;51,4;413;0,501;35;111;0,441;33;0,485;114;887;0,564;103;0,505
"Groupe";"12";2020;170;0,406;83;0,373;860;57,9;422;0,569;39;127;0,441;37;0,351;104;1024;0,503;100;0,47
"Groupe";"2";2009;24,582970066841;0,327;4;0,25;600,247444954843;43,6;290;0,51;91;65;0,292;51;0,275;223;510;0,486;190;0,532
"Groupe";"2";2010;18,3254867770997;0,268;11;0,273;546,96611835691;45,8;301;0,538;89;67;0,239;42;0,286;247;497;0,499;211;0,526
"Groupe";"2";2011;15;0,2;8;0,375;561;43,5;300;0,46;98;81;0,259;57;0,246;210;653;0,484;181;0,486
"Groupe";"2";2012;27;0,259;8;0,125;587;43,1;353;0,459;84;88;0,284;32;0,188;221;576;0,46;185;0,476
"Groupe";"2";2013;27;0,185;7;0,286;636;45,3;360;0,464;53;51;0,176;35;0,171;193;693;0,46;183;0,525
"Groupe";"2";2014;14;0,286;8;0,375;611;46,8;372;0,484;60;62;0,258;43;0,279;167;611;0,458;159;0,535
"Groupe";"2";2015;394;0,437;179;0,425;648;44,4;393;0,506;93;181;0,409;71;0,38;145;715;0,47;138;0,551
"Groupe";"2";2016;248;0,395;107;0,421;568;42,1;359;0,423;124;210;0,414;101;0,386;150;635;0,48;145;0,517
"Groupe";"2";2017;224;0,455;103;0,495;581;44,1;382;0,471;89;186;0,425;72;0,514;155;753;0,485;141;0,518
"Groupe";"2";2018;177;0,418;71;0,437;580;45;329;0,462;68;169;0,396;56;0,446;132;671;0,453;118;0,534
"Groupe";"2";2019;193;0,42;80;0,5;599;45,2;335;0,451;54;NA;0,408;48;0,333;132;646;0,435;123;0,439
"Groupe";"2";2020;205;0,439;87;0,529;595;46,4;334;0,479;40;145;0,434;38;0,342;130;598;0,446;120;0,542
"Groupe";"3";2009;242,215355782274;0,518;180;0,528;1276,48997682592;63,5;762;0,663;174;303;0,538;124;0,508;293;1711;0,639;280;0,646
"Groupe";"3";2010;201,277549171185;0,517;133;0,541;1060,31022268604;65,8;644;0,705;178;314;0,541;133;0,586;258;1668;0,671;248;0,694
"Groupe";"3";2011;202;0,535;149;0,57;985;66,8;602;0,678;168;302;0,52;129;0,504;247;1666;0,69;230;0,665
"Groupe";"3";2012;232;0,504;183;0,497;1159;69;769;0,719;169;326;0,546;148;0,534;226;1617;0,691;212;0,675
"Groupe";"3";2013;181;0,575;145;0,6;1157;67;774;0,681;129;309;0,531;113;0,54;245;1791;0,69;228;0,724
"Groupe";"3";2014;235;0,604;189;0,608;1127;65,8;739;0,655;111;283;0,562;100;0,54;204;1882;0,669;195;0,646
"Groupe";"3";2015;220;0,586;187;0,572;1091;65,4;734;0,681;107;266;0,549;93;0,548;196;1741;0,686;186;0,64
"Groupe";"3";2016;194;0,593;154;0,578;1059;67,8;721;0,678;109;274;0,515;94;0,574;201;1692;0,655;193;0,705
"Groupe";"3";2017;194;0,552;154;0,552;1167;66,8;817;0,688;108;293;0,536;93;0,57;170;1691;0,67;161;0,646
"Groupe";"3";2018;218;0,628;183;0,656;1118;65,1;769;0,654;90;296;0,601;80;0,625;188;1772;0,659;173;0,688
"Groupe";"3";2019;202;0,574;165;0,576;1144;63,6;779;0,662;93;297;0,552;86;0,465;141;1612;0,655;136;0,676
"Groupe";"3";2020;225;0,613;177;0,627;1221;63,6;822;0,669;100;346;0,581;90;0,589;158;1707;0,653;152;0,704
"Groupe";"4";2009;390,966552522401;0,366;263;0,388;2238,95185680005;50;1376;0,51;198;400;0,345;163;0,356;287;2600;0,496;274;0,449
"Groupe";"4";2010;341,019283697953;0,331;217;0,341;1935,36516435258;50,8;1182;0,536;209;433;0,353;174;0,345;303;2698;0,504;292;0,514
"Groupe";"4";2011;392;0,367;278;0,374;2028;51;1282;0,507;219;498;0,333;188;0,383;299;2768;0,522;292;0,579
"Groupe";"4";2012;349;0,395;237;0,409;2106;52,1;1336;0,529;204;456;0,355;173;0,353;281;2759;0,52;271;0,568
"Groupe";"4";2013;372;0,433;269;0,446;2158;52,5;1414;0,517;172;447;0,365;156;0,372;248;2765;0,511;241;0,581
"Groupe";"4";2014;354;0,429;254;0,437;2198;53,6;1453;0,542;161;425;0,431;141;0,482;243;2857;0,509;234;0,487
"Groupe";"4";2015;351;0,419;247;0,429;2097;52,1;1400;0,524;160;470;0,385;148;0,399;223;2843;0,505;214;0,472
"Groupe";"4";2016;372;0,476;265;0,491;2136;52,4;1485;0,533;161;477;0,411;145;0,414;234;2912;0,533;231;0,645
"Groupe";"4";2017;350;0,48;240;0,492;2124;53,7;1424;0,532;131;430;0,43;123;0,472;216;2987;0,529;210;0,524
"Groupe";"4";2018;395;0,456;290;0,448;2172;53,5;1469;0,547;117;419;0,446;109;0,394;198;2699;0,517;184;0,478
"Groupe";"4";2019;324;0,444;231;0,459;2252;53,4;1502;0,537;98;364;0,437;90;0,4;180;2661;0,505;174;0,58
"Groupe";"4";2020;438;0,47;317;0,483;2214;52,2;1489;0,543;109;429;0,406;102;0,422;204;2823;0,501;196;0,526
"Groupe";"5";2009;423,345958180526;0,197;316;0,18;1315,30849824353;23,8;879;0,234;146;476;0,172;123;0,187;288;1289;0,24;269;0,212
"Groupe";"5";2010;354,597469245227;0,189;272;0,191;1140,2674433442;25,7;818;0,258;117;409;0,164;109;0,156;269;1202;0,251;262;0,267
"Groupe";"5";2011;385;0,164;294;0,163;1186;22,9;850;0,228;142;515;0,167;129;0,147;240;1241;0,23;233;0,189
"Groupe";"5";2012;375;0,205;313;0,217;1112;22,9;838;0,226;132;500;0,186;124;0,113;217;1203;0,248;214;0,248
"Groupe";"5";2013;386;0,218;295;0,231;1146;23,8;867;0,227;91;455;0,2;87;0,149;178;1227;0,24;175;0,217
"Groupe";"5";2014;373;0,18;280;0,196;1167;27,7;876;0,273;80;420;0,2;78;0,192;165;1174;0,235;159;0,245
"Groupe";"5";2015;369;0,182;293;0,195;1132;27,4;853;0,256;79;479;0,211;78;0,218;120;1141;0,247;117;0,239
"Groupe";"5";2016;311;0,196;245;0,216;1102;27;841;0,257;70;399;0,185;66;0,212;153;1194;0,266;150;0,253
"Groupe";"5";2017;373;0,196;296;0,206;998;26,9;749;0,252;73;397;0,184;9;0,208;130;1127;0,25;127;0,268
"Groupe";"5";2018;375;0,205;303;0,201;959;29,6;721;0,294;74;403;0,174;71;0,127;120;1073;0,266;117;0,222
"Groupe";"5";2019;331;0,19;275;0,2;1065;28;751;0,274;75;431;0,197;69;0,203;129;945;0,289;124;0,306
"Groupe";"5";2020;360;0,236;275;0,251;1075;29;762;0,274;69;406;0,212;64;0,313;139;978;0,249;137;0,321
"Groupe";"6";2009;278,709797068266;0,176;184;0,158;807,492544713517;27,4;603;0,289;57;186;0,188;54;0,204;79;638;0,249;76;0,224
"Groupe";"6";2010;238,511268644958;0,184;149;0,174;632,465364864618;25,7;455;0,246;44;146;0,158;43;0,047;64;559;0,249;62;0,258
"Groupe";"6";2011;187;0,155;139;0,137;715;26,7;567;0,261;49;184;0,158;47;0,17;63;647;0,235;59;0,271
"Groupe";"6";2012;212;0,208;171;0,211;654;26,6;517;0,255;40;196;0,128;38;0,079;47;532;0,233;47;0,149
"Groupe";"6";2013;198;0,242;152;0,224;662;27,6;525;0,259;29;131;0,176;28;0,143;52;578;0,235;52;0,25
"Groupe";"6";2014;188;0,255;149;0,242;669;26;530;0,236;25;111;0,135;24;0,208;42;545;0,235;42;0,119
"Groupe";"6";2015;185;0,238;144;0,222;607;29;476;0,275;18;111;0,198;18;0,222;33;451;0,242;33;0,242
"Groupe";"6";2016;191;0,126;143;0,147;552;23,4;413;0,232;20;115;0,087;20;0,15;22;325;0,237;22;0,227
"Groupe";"6";2017;176;0,193;127;0,236;488;26,4;368;0,231;21;89;0,146;1;0,158;13;265;0,242;13;0,077
"Groupe";"6";2018;171;0,216;141;0,234;462;27,1;354;0,266;11;101;0,139;11;0,091;22;287;0,268;22;0,182
"Groupe";"6";2019;189;0,169;158;0,171;474;31;374;0,289;20;101;0,198;19;0,211;15;246;0,26;15;0,333
"Groupe";"6";2020;159;0,214;123;0,244;440;27,7;353;0,286;22;110;0,155;22;0,182;22;283;0,318;21;0,476
"Groupe";"7";2009;289,020749908992;0,27;177;0,243;937,84466391139;40,7;694;0,419;68;181;0,343;62;0,339;139;861;0,41;132;0,417
"Groupe";"7";2010;245,89701897019;0,328;156;0,321;796,790139706275;39,6;632;0,408;67;143;0,294;63;0,333;115;872;0,357;111;0,27
"Groupe";"7";2011;226;0,336;170;0,312;794;41,3;621;0,43;60;161;0,217;56;0,232;119;874;0,395;111;0,405
"Groupe";"7";2012;229;0,354;177;0,356;804;38,8;677;0,378;57;154;0,266;52;0,288;91;815;0,401;89;0,404
"Groupe";"7";2013;242;0,364;177;0,333;719;42;572;0,414;36;94;0,213;31;0,226;68;757;0,396;66;0,379
"Groupe";"7";2014;214;0,341;161;0,342;688;43,8;585;0,446;36;121;0,298;35;0,343;36;612;0,381;34;0,471
"Groupe";"7";2015;184;0,397;144;0,396;603;41,5;493;0,418;25;81;0,309;24;0,333;43;607;0,382;43;0,349
"Groupe";"7";2016;188;0,266;153;0,248;608;42,4;488;0,422;31;105;0,276;28;0,25;52;615;0,371;52;0,346
"Groupe";"7";2017;191;0,382;132;0,394;483;42,4;395;0,423;28;124;0,25;26;0,308;41;475;0,389;38;0,342
"Groupe";"7";2018;224;0,313;176;0,295;490;43,5;381;0,444;20;80;0,275;20;0,35;35;359;0,429;34;0,529
"Groupe";"7";2019;189;0,407;141;0,418;498;42;361;0,407;16;77;0,221;16;0,313;29;286;0,388;28;0,357
"Groupe";"7";2020;170;0,282;124;0,266;431;39,2;291;0,395;18;77;0,273;17;0,471;33;332;0,41;32;0,25
"Groupe";"8";2009;124,73595445605;0,266;88;0,227;470,773872672608;34,7;373;0,324;31;79;0,152;28;0,214;57;322;0,323;54;0,259
"Groupe";"8";2010;95,9507341969615;0,182;85;0,153;358,179774875693;36,4;278;0,367;17;55;0,164;15;0,2;55;343;0,356;51;0,275
"Groupe";"8";2011;88;0,216;73;0,205;431;35,5;344;0,352;33;84;0,179;30;0,267;40;290;0,352;38;0,421
"Groupe";"8";2012;83;0,157;65;0,185;389;40,1;334;0,386;21;53;0,17;19;0;48;296;0,311;42;0,238
"Groupe";"8";2013;107;0,336;92;0,359;411;40,4;346;0,408;28;91;0,253;24;0,375;36;315;0,343;34;0,324
"Groupe";"8";2014;98;0,306;89;0,292;395;43,8;360;0,45;24;99;0,172;23;0,174;26;243;0,416;25;0,44
"Groupe";"8";2015;107;0,243;93;0,237;348;39,4;313;0,403;21;74;0,243;21;0,286;21;284;0,377;21;0,333
"Groupe";"8";2016;79;0,19;58;0,172;353;43,9;315;0,435;16;45;0,289;15;0,333;24;264;0,386;23;0,435
"Groupe";"8";2017;88;0,307;75;0,333;359;39;317;0,379;13;51;0,255;10;0,3;22;196;0,367;20;0,3
"Groupe";"8";2018;105;0,257;93;0,269;362;38,1;321;0,405;16;70;0,143;15;0,267;14;153;0,346;14;0,286
"Groupe";"8";2019;95;0,263;85;0,271;359;40,1;300;0,38;14;47;0,298;13;0,462;15;155;0,335;15;0,333
"Groupe";"8";2020;94;0,309;70;0,229;327;41,9;279;0,416;12;42;0,262;10;0,2;23;252;0,405;22;0,364
"Groupe";"9";2009;438,482810845015;0,147;273;0,161;1396,96597867493;24,2;796;0,229;147;348;0,149;129;0,147;273;1078;0,228;243;0,198
"Groupe";"9";2010;404,821504153883;0,151;251;0,143;1273,63314847454;23,7;765;0,224;150;341;0,132;130;0,131;261;1013;0,228;228;0,197
