"Année";"Périmètre";"Périmètre.ID";"Concours.Postes.MCF";"Concours.Postes.PR"
"2020";"Section";"21";14;13
"2020";"Section";"22";32;21
"2020";"Section";"23";24;12
"2020";"Section";"24";2;2
"2020";"Section";"25";25;9
"2020";"Section";"26";41;20
"2020";"Section";"27";71;41
"2020";"Section";"28";15;19
"2020";"Section";"29";4;6
"2020";"Section";"3";5;1
"2020";"Section";"30";3;3
"2020";"Section";"31";12;13
"2020";"Section";"32";9;5
"2020";"Section";"33";10;6
"2020";"Section";"35";18;7
"2020";"Section";"36";4;4
"2020";"Section";"37";1;6
"2020";"Section";"4";15;5
"2020";"Section";"5";43;25
"2020";"Section";"6";79;20
"2020";"Section";"60";39;33
"2020";"Section";"61";33;16
"2020";"Section";"62";15;12
"2020";"Section";"63";28;22
"2020";"Section";"64";24;13
"2020";"Section";"65";21;10
"2020";"Section";"66";6;2
"2020";"Section";"67";12;4
"2020";"Section";"68";1;4
"2020";"Section";"69";4;3
"2020";"Section";"7";26;18
"2020";"Section";"70";30;17
"2020";"Section";"71";28;9
"2020";"Section";"72";2;1
"2020";"Section";"73";1;2
"2020";"Section";"74";40;13
"2020";"Section";"8";7;4
"2020";"Section";"85";3;4
"2020";"Section";"86";17;4
"2020";"Section";"87";11;6
"2020";"Section";"9";24;27
"2020";"Section";"90";1;NA
"2020";"Section";"91";1;1
"2020";"Section";"34";NA;1
"2021";"Section";"1";39;29
"2021";"Section";"10";6;7
"2021";"Section";"11";44;18
"2021";"Section";"12";3;5
"2021";"Section";"13";1;1
"2021";"Section";"14";20;16
"2021";"Section";"15";20;5
"2021";"Section";"16";45;24
"2021";"Section";"17";5;13
"2021";"Section";"18";30;11
"2021";"Section";"19";15;17
"2021";"Section";"2";33;21
"2021";"Section";"20";4;7
"2021";"Section";"21";17;16
"2021";"Section";"22";18;18
"2021";"Section";"23";25;14
"2021";"Section";"24";5;3
"2021";"Section";"25";24;18
"2021";"Section";"26";40;18
"2021";"Section";"27";70;37
"2021";"Section";"28";18;14
"2021";"Section";"29";4;5
"2021";"Section";"3";10;2
"2021";"Section";"30";4;4
"2021";"Section";"31";10;14
"2021";"Section";"32";11;7
"2021";"Section";"33";8;8
"2021";"Section";"34";3;NA
"2021";"Section";"35";13;6
"2021";"Section";"36";3;2
"2021";"Section";"37";2;2
"2021";"Section";"4";10;5
"2021";"Section";"5";50;26
"2021";"Section";"6";68;16
"2021";"Section";"60";42;21
"2021";"Section";"61";30;24
"2021";"Section";"62";17;10
"2021";"Section";"63";29;13
"2021";"Section";"64";13;15
"2021";"Section";"65";11;9
"2021";"Section";"66";11;6
"2021";"Section";"67";8;10
"2021";"Section";"68";8;3
"2021";"Section";"69";9;3
"2021";"Section";"7";27;12
"2021";"Section";"70";30;19
"2021";"Section";"71";33;10
"2021";"Section";"72";1;1
"2021";"Section";"73";2;NA
"2021";"Section";"74";35;11
"2021";"Section";"77";1;NA
"2021";"Section";"8";5;2
"2021";"Section";"85";9;7
"2021";"Section";"86";14;6
"2021";"Section";"87";8;1
"2021";"Section";"9";21;13
"2021";"Section";"91";5;NA
"2021";"Section";"90";NA;1
"2022";"Section";"1";68;23
"2022";"Section";"10";7;4
"2022";"Section";"11";54;25
"2022";"Section";"12";15;9
"2022";"Section";"13";1;1
"2022";"Section";"14";30;13
"2022";"Section";"15";18;4
"2022";"Section";"16";52;41
"2022";"Section";"17";12;6
"2022";"Section";"18";31;17
"2022";"Section";"19";29;23
"2022";"Section";"2";36;18
"2022";"Section";"20";7;7
"2022";"Section";"21";20;12
"2022";"Section";"22";28;19
"2022";"Section";"23";15;7
"2022";"Section";"24";7;8
"2022";"Section";"25";29;14
"2022";"Section";"26";50;20
"2022";"Section";"27";97;51
"2022";"Section";"28";15;17
"2022";"Section";"29";5;3
"2022";"Section";"3";4;1
"2022";"Section";"30";7;3
"2022";"Section";"31";16;12
"2022";"Section";"32";7;6
"2022";"Section";"33";12;14
"2022";"Section";"34";3;5
"2022";"Section";"35";14;10
"2022";"Section";"36";2;3
"2022";"Section";"37";2;4
"2022";"Section";"4";12;6
"2022";"Section";"5";49;32
"2022";"Section";"6";83;13
"2022";"Section";"60";63;26
"2022";"Section";"61";41;22
"2022";"Section";"62";15;14
"2022";"Section";"63";35;13
"2022";"Section";"64";21;17
"2022";"Section";"65";24;11
"2022";"Section";"66";12;5
"2022";"Section";"67";17;8
"2022";"Section";"68";7;3
"2022";"Section";"69";5;4
"2022";"Section";"7";35;18
"2022";"Section";"70";38;16
"2022";"Section";"71";23;18
"2022";"Section";"72";3;1
"2022";"Section";"73";2;1
"2022";"Section";"74";40;10
"2022";"Section";"8";2;8
"2022";"Section";"85";8;6
"2022";"Section";"86";9;4
"2022";"Section";"87";10;5
"2022";"Section";"9";19;16
"2022";"Section";"90";4;1
"2022";"Section";"91";8;1
"2022";"Section";"92";3;NA
"2023";"Section";"1";72;19
"2023";"Section";"10";6;2
"2023";"Section";"11";58;31
"2023";"Section";"12";14;2
"2023";"Section";"13";3;1
"2023";"Section";"14";27;11
"2023";"Section";"15";21;5
"2023";"Section";"16";80;23
"2023";"Section";"17";8;10
"2023";"Section";"18";35;12
"2023";"Section";"19";28;21
"2023";"Section";"2";43;18
"2023";"Section";"20";11;2
"2023";"Section";"21";23;22
"2023";"Section";"22";29;21
"2023";"Section";"23";30;9
"2023";"Section";"24";6;5
"2023";"Section";"25";30;18
"2023";"Section";"26";46;25
"2023";"Section";"27";113;40
"2023";"Section";"28";19;18
"2023";"Section";"29";5;5
"2023";"Section";"3";6;1
"2023";"Section";"30";10;6
"2023";"Section";"31";19;8
"2023";"Section";"32";15;5
"2023";"Section";"33";13;11
"2023";"Section";"34";1;2
"2023";"Section";"35";12;14
"2023";"Section";"36";6;1
"2023";"Section";"37";6;2
"2023";"Section";"4";21;2
"2023";"Section";"5";45;31
"2023";"Section";"6";103;21
"2023";"Section";"60";74;41
"2023";"Section";"61";48;22
"2023";"Section";"62";21;13
"2023";"Section";"63";36;19
"2023";"Section";"64";31;16
"2023";"Section";"65";21;6
"2023";"Section";"66";15;11
"2023";"Section";"67";14;5
"2023";"Section";"68";4;2
"2023";"Section";"69";6;3
"2023";"Section";"7";38;9
"2023";"Section";"70";55;15
"2023";"Section";"71";39;4
"2023";"Section";"72";1;1
"2023";"Section";"73";1;2
"2023";"Section";"74";44;8
"2023";"Section";"76";1;NA
"2023";"Section";"77";1;NA
"2023";"Section";"8";7;1
"2023";"Section";"85";9;2
"2023";"Section";"86";11;4
"2023";"Section";"87";11;5
"2023";"Section";"9";21;21
"2023";"Section";"90";2;NA
"2023";"Section";"91";5;1
"2023";"Section";"92";2;NA
